Benchmarks	system.cpu.icache.overall_miss_rate::total
speclibm_716	0.011052
speclibm_717	0.018531
speclibm_718	0.013373
speclibm_719	0.011052
speclibm_720	0.018531
speclibm_721	0.013373
speclibm_722	0.011052
speclibm_723	0.018531
speclibm_724	0.013373
speclibm_725	0.011052
speclibm_726	0.018531
speclibm_727	0.013373
speclibm_728	0.011052
speclibm_729	0.018531
speclibm_730	0.013373
speclibm_731	0.011052
speclibm_732	0.018531
speclibm_733	0.013373
speclibm_734	0.011052
speclibm_735	0.018531
speclibm_736	0.013373
speclibm_737	0.011052
speclibm_738	0.018531
speclibm_739	0.013373
speclibm_740	0.011052
speclibm_741	0.018531
speclibm_742	0.013373
speclibm_743	0.011052
speclibm_744	0.018531
speclibm_745	0.013373
speclibm_746	0.011052
speclibm_747	0.018531
speclibm_748	0.013373
speclibm_749	0.011052
speclibm_750	0.018523
speclibm_751	0.013533
speclibm_752	0.011098
speclibm_753	0.018523
speclibm_754	0.013533
speclibm_755	0.011108
speclibm_756	0.018523
speclibm_757	0.013533
speclibm_758	0.011108
speclibm_759	0.018523
speclibm_760	0.013533
speclibm_761	0.011108
speclibm_762	0.018523
speclibm_763	0.013533
speclibm_764	0.011108
speclibm_765	0.018523
speclibm_766	0.013533
speclibm_767	0.011108
speclibm_768	0.018523
speclibm_769	0.013533
speclibm_770	0.011108
speclibm_771	0.018523
speclibm_772	0.013533
speclibm_773	0.011108
speclibm_774	0.018523
speclibm_775	0.013533
speclibm_776	0.011108
speclibm_777	0.018523
speclibm_778	0.013533
speclibm_779	0.011108
speclibm_780	0.018523
speclibm_781	0.013533
speclibm_782	0.011108
speclibm_783	0.018523
speclibm_784	0.013533
speclibm_785	0.011108
speclibm_786	0.018523
speclibm_787	0.013533
speclibm_788	0.011108
speclibm_789	0.018523
speclibm_790	0.013533
speclibm_791	0.011108
speclibm_792	0.018523
speclibm_793	0.013533
speclibm_794	0.011108
speclibm_795	0.018523
speclibm_796	0.013533
speclibm_797	0.011108
speclibm_798	0.018523
speclibm_799	0.013533
speclibm_800	0.011108
speclibm_801	0.018523
speclibm_802	0.013533
speclibm_803	0.011108
speclibm_804	0.018523
speclibm_805	0.013533
speclibm_806	0.011108
speclibm_807	0.018523
speclibm_808	0.013533
speclibm_809	0.011108
speclibm_810	0.018523
speclibm_811	0.013533
speclibm_812	0.011108
speclibm_813	0.018523
speclibm_814	0.013533
speclibm_815	0.011108
speclibm_816	0.018523
speclibm_817	0.013533
speclibm_818	0.011108
speclibm_819	0.018523
speclibm_820	0.013533
speclibm_821	0.011108
speclibm_822	0.018523
speclibm_823	0.013533
speclibm_824	0.011108
speclibm_825	0.018531
speclibm_826	0.013373
speclibm_827	0.011042
speclibm_828	0.018531
speclibm_829	0.013373
speclibm_830	0.011051
speclibm_831	0.018531
speclibm_832	0.013373
speclibm_833	0.011051
speclibm_834	0.018531
speclibm_835	0.013373
speclibm_836	0.011051
speclibm_837	0.018531
speclibm_838	0.013373
speclibm_839	0.011051
speclibm_840	0.018531
speclibm_841	0.013373
speclibm_842	0.011051
speclibm_843	0.018531
speclibm_844	0.013373
speclibm_845	0.011051
speclibm_846	0.018531
speclibm_847	0.013373
speclibm_848	0.011051
speclibm_849	0.018531
speclibm_850	0.013373
speclibm_851	0.011051
speclibm_852	0.018531
speclibm_853	0.013373
speclibm_854	0.011051
speclibm_855	0.018531
speclibm_856	0.013373
speclibm_857	0.011051
speclibm_858	0.018531
speclibm_859	0.013373
speclibm_860	0.011051
speclibm_861	0.018531
speclibm_862	0.013373
speclibm_863	0.011051
speclibm_864	0.018531
speclibm_865	0.013373
speclibm_866	0.011051
speclibm_867	0.018531
speclibm_868	0.013373
speclibm_869	0.011051
speclibm_870	0.018531
speclibm_871	0.013373
speclibm_872	0.011051
speclibm_873	0.018531
speclibm_874	0.013373
speclibm_875	0.011051
speclibm_876	0.018531
speclibm_877	0.013373
speclibm_878	0.011051
speclibm_879	0.018531
speclibm_880	0.013373
speclibm_881	0.011051
speclibm_882	0.018531
speclibm_883	0.013373
speclibm_884	0.011051
speclibm_885	0.018531
speclibm_886	0.013373
speclibm_887	0.011051
speclibm_888	0.018531
speclibm_889	0.013373
speclibm_890	0.011051
speclibm_891	0.018531
speclibm_892	0.013373
speclibm_893	0.011051
speclibm_894	0.018531
speclibm_895	0.013373
speclibm_896	0.011051
speclibm_897	0.018531
speclibm_898	0.013373
speclibm_899	0.011051
speclibm_900	0.018531
speclibm_901	0.013373
speclibm_902	0.011042
speclibm_903	0.018531
speclibm_904	0.013373
speclibm_905	0.011052
speclibm_906	0.018531
speclibm_907	0.013373
speclibm_908	0.011052
speclibm_909	0.018531
speclibm_910	0.013373
speclibm_911	0.011052
speclibm_912	0.018531
speclibm_913	0.013373
speclibm_914	0.011052
speclibm_915	0.018531
speclibm_916	0.013373
speclibm_917	0.011052
speclibm_918	0.018531
speclibm_919	0.013373
speclibm_920	0.011052
speclibm_921	0.018531
speclibm_922	0.013373
speclibm_923	0.011052
speclibm_924	0.018531
speclibm_925	0.013373
speclibm_926	0.011052
speclibm_927	0.018531
speclibm_928	0.013373
speclibm_929	0.011052
speclibm_930	0.018531
speclibm_931	0.013373
speclibm_932	0.011052
speclibm_933	0.018531
speclibm_934	0.013373
speclibm_935	0.011052
speclibm_936	0.018531
speclibm_937	0.013373
speclibm_938	0.011052
speclibm_939	0.018531
speclibm_940	0.013373
speclibm_941	0.011052
speclibm_942	0.018531
speclibm_943	0.013373
speclibm_944	0.011052
speclibm_945	0.018531
speclibm_946	0.013373
speclibm_947	0.011052
speclibm_948	0.018531
speclibm_949	0.013373
speclibm_950	0.011052
speclibm_951	0.018531
speclibm_952	0.013373
speclibm_953	0.011052
speclibm_954	0.018531
speclibm_955	0.013373
speclibm_956	0.011052
speclibm_957	0.018531
speclibm_958	0.013373
speclibm_959	0.011052
speclibm_960	0.018531
speclibm_961	0.013373
speclibm_962	0.011052
speclibm_963	0.018531
speclibm_964	0.013373
speclibm_965	0.011052
speclibm_966	0.018531
speclibm_967	0.013373
speclibm_968	0.011052
speclibm_969	0.018531
speclibm_970	0.013373
speclibm_971	0.011052
speclibm_972	0.018531
speclibm_973	0.013373
speclibm_974	0.011052
speclibm_975	0.018531
speclibm_976	0.013373
speclibm_977	0.011042
speclibm_978	0.018531
speclibm_979	0.013373
speclibm_980	0.011052
speclibm_981	0.018531
speclibm_982	0.013373
speclibm_983	0.011052
speclibm_984	0.018531
